actual,predicted,residual,abs_residual,pct_error
74,57.367251122495254,16.632748877504746,16.632748877504746,22.47668767230371
75,67.92131041142628,7.078689588573724,7.078689588573724,9.438252784764964
50,71.24654503378535,-21.246545033785353,21.246545033785353,42.493090067570705
100,97.43849054733778,2.5615094526622215,2.5615094526622215,2.5615094526622215
76,70.23300192117904,5.766998078820961,5.766998078820961,7.588155366869687
79,85.04962833764402,-6.049628337644023,6.049628337644023,7.657757389422814
77,72.04606304034945,4.953936959650548,4.953936959650548,6.433684363182531
77,70.09260885369868,6.907391146301322,6.907391146301322,8.97063785233938
49,62.15716859727036,-13.157168597270363,13.157168597270363,26.851364484225233
80,91.77411724218021,-11.77411724218021,11.77411724218021,14.717646552725263
76,88.39583599294338,-12.395835992943375,12.395835992943375,16.310310517030757
45,42.45465359521293,2.545346404787068,2.545346404787068,5.656325343971263
100,95.09828463852253,4.901715361477471,4.901715361477471,4.901715361477471
76,88.09663324874475,-12.096633248744752,12.096633248744752,15.916622695716779
39,40.71733712926478,-1.7173371292647772,1.7173371292647772,4.403428536576351
100,90.51919602474231,9.480803975257686,9.480803975257686,9.480803975257686
40,42.06229414423623,-2.0622941442362333,2.0622941442362333,5.155735360590583
52,63.44677155055059,-11.446771550550586,11.446771550550586,22.01302221259728
50,68.16239863325168,-18.162398633251684,18.162398633251684,36.32479726650337
100,92.99146253653105,7.008537463468954,7.008537463468954,7.008537463468954
79,86.34181718540222,-7.3418171854022205,7.3418171854022205,9.293439475192685
51,72.78650031991678,-21.786500319916783,21.786500319916783,42.7186280782682
75,74.52715715468753,0.47284284531247067,0.47284284531247067,0.6304571270832943
77,82.74235248562894,-5.742352485628942,5.742352485628942,7.457600630686938
46,53.81635370490702,-7.816353704907023,7.816353704907023,16.992073271537006
35,25.64403720594857,9.355962794051429,9.355962794051429,26.731322268718365
38,41.724342540185106,-3.7243425401851056,3.7243425401851056,9.80090142153975
76,73.06663358758838,2.9333664124116154,2.9333664124116154,3.85969264791002
100,97.1918880279538,2.8081119720462056,2.8081119720462056,2.8081119720462056
73,61.450021345472834,11.549978654527166,11.549978654527166,15.821888567845432
77,73.94649293178185,3.0535070682181527,3.0535070682181527,3.9655935950885097
100,88.6639662710286,11.336033728971401,11.336033728971401,11.336033728971401
77,70.85599486558633,6.144005134413675,6.144005134413675,7.979227447290486
77,85.18924806644108,-8.189248066441081,8.189248066441081,10.635387099274132
77,71.26823577142001,5.731764228579991,5.731764228579991,7.4438496475064815
42,52.21500409506042,-10.215004095060422,10.215004095060422,24.321438321572433
75,73.27999615221358,1.7200038477864155,1.7200038477864155,2.2933384637152208
100,88.4074593597502,11.592540640249794,11.592540640249794,11.592540640249794
77,70.16989271732834,6.830107282671662,6.830107282671662,8.870269198274885
46,55.65179297184479,-9.651792971844792,9.651792971844792,20.9821586344452
100,93.88101777838901,6.118982221610992,6.118982221610992,6.118982221610992
96,91.06870718983319,4.931292810166809,4.931292810166809,5.136763343923759
76,68.02365279797587,7.9763472020241295,7.9763472020241295,10.495193686873854
100,93.02837566115412,6.971624338845885,6.971624338845885,6.971624338845885
78,80.66228076243287,-2.6622807624328715,2.6622807624328715,3.4131804646575272
100,93.75718241988956,6.24281758011044,6.24281758011044,6.24281758011044
100,95.40525117549716,4.594748824502844,4.594748824502844,4.594748824502844
75,78.48489239322963,-3.4848923932296287,3.4848923932296287,4.646523190972839
49,58.79238830861307,-9.79238830861307,9.79238830861307,19.984465935945043
75,85.41740537434879,-10.417405374348789,10.417405374348789,13.889873832465053
77,80.18527865356103,-3.185278653561028,3.185278653561028,4.1367255241052305
47,66.73243057506099,-19.732430575060988,19.732430575060988,41.983894840555294
96,74.80457688805345,21.195423111946553,21.195423111946553,22.07856574161099
78,88.98394229806887,-10.983942298068868,10.983942298068868,14.081977305216498
77,72.5946225470631,4.405377452936904,4.405377452936904,5.721269419398576
77,70.5909225763678,6.409077423632198,6.409077423632198,8.323477173548309
100,92.28699726504605,7.713002734953946,7.713002734953946,7.713002734953946
76,69.91163687152506,6.088363128474938,6.088363128474938,8.011004116414393
76,83.95299621715621,-7.952996217156212,7.952996217156212,10.464468706784489
52,68.04004996717073,-16.04004996717073,16.04004996717073,30.846249936866787
39,42.38438367944412,-3.38438367944412,3.38438367944412,8.67790687036954
77,72.59993009731315,4.400069902686852,4.400069902686852,5.714376496995912
99,92.79705331779576,6.202946682204242,6.202946682204242,6.265602709297215
52,64.9152550694509,-12.915255069450893,12.915255069450893,24.837028979713256
44,48.73069267213701,-4.73069267213701,4.73069267213701,10.751574254856843
72,66.8093981755981,5.190601824401895,5.190601824401895,7.209169200558188
99,86.49341513738428,12.506584862615725,12.506584862615725,12.632914002642146
45,47.2246521340604,-2.224652134060399,2.224652134060399,4.943671409023109
50,65.80129797918296,-15.801297979182962,15.801297979182962,31.602595958365924
45,47.32896192603752,-2.328961926037522,2.328961926037522,5.175470946750049
74,80.65767686198703,-6.657676861987028,6.657676861987028,8.996860624306795
47,63.457198588035546,-16.457198588035546,16.457198588035546,35.01531614475648
100,91.54996719610035,8.450032803899646,8.450032803899646,8.450032803899646
38,49.23422226815558,-11.234222268155577,11.234222268155577,29.56374281093573
76,80.67648024219287,-4.676480242192866,4.676480242192866,6.1532634765695615
39,45.61932735572846,-6.619327355728458,6.619327355728458,16.972634245457584
47,56.408775106976066,-9.408775106976066,9.408775106976066,20.01867044037461
53,73.5861816770748,-20.586181677074805,20.586181677074805,38.84185222089586
78,81.34890439187191,-3.348904391871912,3.348904391871912,4.293467169066554
